<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2019.08.01	108.769	109.317	107.251	107.335	83723	0	3
2019.08.02	107.337	107.566	106.507	106.597	127998	0	3
2019.08.05	106.572	106.680	105.784	105.945	124382	0	3
2019.08.06	105.944	107.088	105.519	106.473	119689	0	3
2019.08.07	106.472	106.473	105.493	106.265	122472	0	3
2019.08.08	106.264	106.300	105.891	106.072	84106	0	3
2019.08.09	106.071	106.090	105.267	105.649	71544	0	3
2019.08.12	105.544	105.690	105.047	105.294	62889	0	3
2019.08.13	105.296	106.973	105.064	106.743	91394	0	2
2019.08.14	106.743	106.766	105.649	105.904	94948	0	3
2019.08.15	105.906	106.776	105.700	106.121	117651	0	3
2019.08.16	106.122	106.492	105.991	106.369	70008	0	3
2019.08.19	106.276	106.695	106.245	106.630	54752	0	3
2019.08.20	106.628	106.689	106.160	106.222	63331	0	3
2019.08.21	106.222	106.644	106.213	106.614	55911	0	3
2019.08.22	106.612	106.651	106.250	106.438	60670	0	3
2019.08.23	106.434	106.732	105.254	105.411	97061	0	3
2019.08.26	104.996	106.412	104.449	106.119	148459	0	3
2019.08.27	106.144	106.157	105.588	105.747	97595	0	2
2019.08.28	105.747	106.228	105.649	106.118	81650	0	2
2019.08.29	106.114	106.680	105.827	106.515	87501	0	2
2019.08.30	106.508	106.542	106.099	106.253	89303	0	2
2019.09.02	106.027	106.398	105.925	106.212	47189	0	2
2019.09.03	106.209	106.383	105.735	105.928	96637	0	2
2019.09.04	105.927	106.442	105.826	106.383	73950	0	2
2019.09.05	106.383	107.228	106.323	106.938	90772	0	2
2019.09.06	106.930	107.099	106.620	106.902	77593	0	2
2019.09.09	106.796	107.271	106.759	107.237	57598	0	2
2019.09.10	107.235	107.584	107.179	107.541	59831	0	2
2019.09.11	107.530	107.852	107.494	107.810	56398	0	2
2019.09.12	107.805	108.186	107.518	108.095	83053	0	2
2019.09.13	108.098	108.258	107.903	108.073	59530	0	2
2019.09.16	108.066	108.165	107.494	108.129	65379	0	2
2019.09.17	108.131	108.368	108.018	108.113	56685	0	2
2019.09.18	108.112	108.475	108.083	108.442	50297	0	2
2019.09.19	108.440	108.470	107.786	108.021	63724	0	2
2019.09.20	108.020	108.084	107.518	107.554	55095	0	2
2019.09.23	107.715	107.766	107.309	107.539	43983	0	2
2019.09.24	107.533	107.796	106.959	107.062	64737	0	2
2019.09.25	107.054	107.881	106.999	107.768	67911	0	2
2019.09.26	107.761	107.957	107.423	107.829	57195	0	2
2019.09.27	107.829	108.178	107.655	107.929	62292	0	2
2019.09.30	107.956	108.176	107.742	108.070	48175	0	2
2019.10.01	108.070	108.468	107.625	107.739	56866	0	2
2019.10.02	107.727	107.890	107.045	107.176	60008	0	2
2019.10.03	107.168	107.296	106.480	106.910	73134	0	2
2019.10.04	106.898	107.132	106.562	106.900	59929	0	2
2019.10.07	106.670	107.464	106.651	107.241	50931	0	2
2019.10.08	107.241	107.443	106.801	107.072	72127	0	2
2019.10.09	107.066	107.625	106.932	107.472	51894	0	2
2019.10.10	107.469	108.015	107.032	107.956	81389	0	2
2019.10.11	107.954	108.628	107.846	108.420	75600	0	2
2019.10.14	108.339	108.521	108.028	108.390	44990	0	2
2019.10.15	108.388	108.897	108.154	108.851	55999	0	2
2019.10.16	108.851	108.864	108.557	108.754	60677	0	2
2019.10.17	108.742	108.937	108.452	108.637	60052	0	2
2019.10.18	108.642	108.719	108.375	108.378	52282	0	2
2019.10.21	108.391	108.662	108.290	108.598	48522	0	2
2019.10.22	108.597	108.727	108.439	108.480	37097	0	2
2019.10.23	108.474	108.702	108.247	108.690	44314	0	2
2019.10.24	108.689	108.752	108.495	108.598	39389	0	2
2019.10.25	108.598	108.772	108.509	108.665	34661	0	2
2019.10.28	108.708	109.037	108.657	108.974	31646	0	2
2019.10.29	108.974	109.068	108.749	108.884	33528	0	2
2019.10.30	108.885	109.285	108.718	108.853	40711	0	2
2019.10.31	108.853	108.878	107.925	108.019	47594	0	2
2019.11.01	108.019	108.322	107.884	108.169	36172	0	2
2019.11.04	108.212	108.648	108.162	108.572	26739	0	2
2019.11.05	108.572	109.240	108.547	109.143	43001	0	2
2019.11.06	109.130	109.182	108.816	108.964	37763	0	2
2019.11.07	108.963	109.486	108.645	109.281	53040	0	2
2019.11.08	109.271	109.474	109.074	109.220	44468	0	2
2019.11.11	109.230	109.252	108.895	109.040	25709	0	2
2019.11.12	109.041	109.291	108.922	108.989	38515	0	2
2019.11.13	108.989	109.148	108.654	108.812	40865	0	2
2019.11.14	108.811	108.861	108.232	108.407	41878	0	2
2019.11.15	108.407	108.855	108.371	108.771	32805	0	2
2019.11.18	108.786	109.070	108.511	108.674	35989	0	2
2019.11.19	108.674	108.835	108.451	108.533	37680	0	2
2019.11.20	108.532	108.737	108.344	108.604	51013	0	2
2019.11.21	108.586	108.696	108.275	108.615	53793	0	2
2019.11.22	108.615	108.730	108.475	108.639	39169	0	2
2019.11.25	108.626	108.975	108.596	108.917	31280	0	2
2019.11.26	108.902	109.207	108.874	109.026	39348	0	2
2019.11.27	109.021	109.608	109.008	109.538	31228	0	2
2019.11.28	109.538	109.554	109.331	109.503	25094	0	2
2019.11.29	109.505	109.669	109.396	109.487	34875	0	2
2019.12.02	109.517	109.726	108.924	108.970	39188	0	2
2019.12.03	108.970	109.206	108.482	108.632	49580	0	2
2019.12.04	108.622	108.961	108.426	108.852	46206	0	2
2019.12.05	108.852	108.999	108.653	108.750	40034	0	2
2019.12.06	108.750	108.922	108.476	108.565	35101	0	2
2019.12.09	108.626	108.677	108.429	108.553	25792	0	2
2019.12.10	108.553	108.765	108.512	108.716	33938	0	2
2019.12.11	108.707	108.854	108.463	108.552	33278	0	2
2019.12.12	108.550	109.449	108.453	109.278	47620	0	2
2019.12.13	109.283	109.706	108.921	109.346	62542	0	2
2019.12.16	109.302	109.675	109.276	109.533	27875	0	2
2019.12.17	109.535	109.632	109.441	109.472	27111	0	2
2019.12.18	109.467	109.626	109.399	109.548	27467	0	2
2019.12.19	109.538	109.685	109.180	109.366	29691	0	2
2019.12.20	109.360	109.524	109.255	109.447	24360	0	3
2019.12.23	109.428	109.536	109.338	109.395	23296	0	2
2019.12.24	109.388	109.440	109.325	109.354	21101	0	3
2019.12.26	109.544	109.682	109.527	109.633	13163	0	3
2019.12.27	109.623	109.623	109.388	109.458	35041	0	3
2019.12.30	109.385	109.484	108.765	108.873	31232	0	3
2019.12.31	108.873	108.884	108.467	108.658	28414	0	3
2020.01.02	108.705	108.864	108.210	108.566	24641	0	3
2020.01.03	108.555	108.627	107.839	108.101	53832	0	3
2020.01.06	107.884	108.504	107.769	108.365	44768	0	3
2020.01.07	108.362	108.628	108.259	108.439	42804	0	3
2020.01.08	108.439	109.243	107.647	109.103	82424	0	3
2020.01.09	109.103	109.580	109.010	109.514	40914	0	3
2020.01.10	109.513	109.688	109.432	109.500	30309	0	2
2020.01.13	109.520	109.944	109.501	109.942	23776	0	3
2020.01.14	109.939	110.212	109.850	109.982	36033	0	3
2020.01.15	109.973	110.008	109.788	109.892	31717	0	3
2020.01.16	109.883	110.178	109.848	110.151	27494	0	3
2020.01.17	110.136	110.287	110.046	110.161	26920	0	3
2020.01.20	110.105	110.215	110.102	110.178	18702	0	3
2020.01.21	110.178	110.220	109.760	109.859	34700	0	3
2020.01.22	109.857	110.099	109.827	109.834	31492	0	3
2020.01.23	109.829	109.860	109.264	109.485	41211	0	3
2020.01.24	109.485	109.650	109.170	109.278	38021	0	3
2020.01.27	108.968	109.135	108.729	108.883	58413	0	3
2020.01.28	108.884	109.200	108.754	109.137	41155	0	3
2020.01.29	109.137	109.264	108.974	109.009	38602	0	3
2020.01.30	109.009	109.064	108.579	108.949	60894	0	3
2020.01.31	108.950	109.134	108.305	108.346	58477	0	3
2020.02.03	108.431	108.797	108.311	108.667	53147	0	3
2020.02.04	108.680	109.543	108.547	109.518	44163	0	3
